,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1418, UNSECRET Alaina Cross,Feel The Power,rock,6XhRPV05Ve0i2a85QqyTE4,0.455,0.655,2,-5.365,1,0.0472,0.00224,0.000951,0.0629,0.324,170.056,242953,4
1419, Kip Macklejar,Tell Me What I Said,rock,2TXQorXIxwbB123BPAERKm,0.543,0.711,2,-8.267,1,0.0585,0.00105,8.17e-05,0.0816,0.561,89.967,215625,4
1420, Allman Brothers Band,Ramblin' Man,rock,5cfYurP1XKldMBtvBBJiTs,0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,288507,4
1421, Wings,Band On The Run - Remastered 2010,rock,1H4idkmruFoJBg1DvUv2tY,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,4
1422, Cutting Crew,(I Just) Died In Your Arms,rock,4ByEFOBuLXpCqvO1kw8Wdm,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400,4
1423, Flyer High,Soul,rock,7HNTiOiiZDBOMQgBdhVPXQ,0.599,0.797,4,-3.859,1,0.0323,0.00709,0.000989,0.561,0.684,119.998,213293,4
1424, Aton O'Cat Mrs Jones,DNA,rock,7DxqW9ChwqKsRtcxttAFMx,0.711,0.871,5,-6.56,0,0.0783,0.0165,0.00405,0.0761,0.472,119.95,176805,4
1425, Free,All Right Now,rock,1gcESexgftSuLuML57Y69q,0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,330643,4
1426, The J. Geils Band,Centerfold,rock,1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4
1427, Kenny Loggins,"Footloose - From ""Footloose"" Soundtrack",rock,2vz1CsL5WBsbpBcwgboTAw,0.583,0.905,2,-6.132,1,0.0733,0.0984,0.00019,0.0593,0.646,173.982,226827,4
