,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
670,thompson square,are you gonna kiss me or not,2011,95,2TAcwD5KcV9uY3O1tLGV15,64,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948,184920,4
671,kenny chesney ring grace potter,you and tequila,2011,97,1t2hJFgJyUPD2crOafMUEk,62,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4
672,zac brown band,colder weather,2011,98,23hDnIFoFlVTDA6y8YrJoR,68,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,273893,4
673,big sean ring chris brown,my last,2011,99,70tFuqBcduJv15bEnOPRTh,58,0.387,0.773,8,-5.685,1,0.17,0.098,0.0,0.209,0.368,78.629,254120,4
674,gotye ring kimbra,somebody that i used to know,2012,1,4wCmqSrbyCgxEXROQE6vtV,75,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244973,4
675,carly rae jepsen,call me maybe,2012,2,3TGRqZ0a2l1LRblBkJoaDx,69,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
676,fun  ring janelle monae,we are young,2012,3,7a86XRg84qjasly9f6bPSD,73,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
677,maroon 5 ring wiz khalifa,payphone,2012,4,1LmN9SSHISbtp9LoaR5ZVJ,74,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
678,ellie goulding,lights,2012,5,7gUpO6td4OOnu0Lf9vhcIV,61,0.683,0.789,8,-6.132,0,0.0353,0.0283,0.0492,0.112,0.809,120.013,211800,4
679,the wanted,glad you came,2012,6,3AGOgQzp0YcPH41u9p7dOp,69,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187,4
680,kelly clarkson,stronger (what doesn't kill you),2012,7,6D60klaHqbCl9ySc8VcRss,66,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,221947,4
681,nicki minaj,starships,2012,9,1oHNvJVbFkexQc0BpQp7Y4,70,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,4
682,one direction,what makes you beautiful,2012,10,4cluDES4hQEUhmXj6TXkSo,82,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
683,flo rida ring sia,wild ones,2012,11,1NpW5kyvO4XrNJ3rnfcNy3,76,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
684,adele,set fire to the rain,2012,12,3CKCZ9pfwAfoMZlMncA1Nc,76,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693,4
685,fun,some nights,2012,14,6t6oULCRS6hnI7rm0h5gwl,71,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
