,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
133,minogue kylie,confide in me,1995,75,5I4h7d0COwxAkFP8TbZOlr,0,0.532,0.352,8,-12.011,1,0.0313,0.0849,0.238,0.111,0.27,108.957,249947,4
134,everything but the girl,missing,1995,76,0LcNMuOiULmxJK3bdHTfDF,70,0.537,0.647,2,-7.37,1,0.0519,0.168,0.0,0.108,0.531,79.77,214987,4
136,everything but the girl,missing,1996,29,0LcNMuOiULmxJK3bdHTfDF,70,0.537,0.647,2,-7.37,1,0.0519,0.168,0.0,0.108,0.531,79.77,214987,4
138,corona,baby baby,1995,77,4lDKORchTM8Rd0PFQFXTLX,56,0.639,0.869,7,-8.479,1,0.0311,0.00336,0.002,0.0576,0.562,133.033,228013,4
139,masterboy,is this the love,1995,78,5f7F9TCBVKLWTFyoosTCRI,37,0.541,0.905,0,-6.618,1,0.0324,0.000219,0.0103,0.316,0.919,139.956,332760,4
140,winter ophelie,dieu m'a donne la foi,1995,81,4QlC4HmIyo2nO0l0bRrgdm,45,0.757,0.896,5,-3.652,1,0.0574,0.0189,2.02e-05,0.113,0.583,107.99,236760,4
142,ophelie winter,dieu m'a donne la foi,1996,16,4QlC4HmIyo2nO0l0bRrgdm,45,0.757,0.896,5,-3.652,1,0.0574,0.0189,2.02e-05,0.113,0.583,107.99,236760,4
144,nirvana,about a girl,1995,83,55yvzYuvJYG2RUEnMK78tr,69,0.409,0.932,11,-4.538,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761,166640,4
145,masterboy,megamix,1995,84,2mhnKKe7pk6M9mLCxaXbL1,25,0.604,0.876,9,-7.842,0,0.0386,0.00689,0.0255,0.122,0.56,137.974,256600,4
146,urge overkill,girl you'll be a woman soon,1995,85,5u6Woby9oKAF8LhhuxykH1,63,0.514,0.584,5,-13.049,1,0.042,0.0698,0.000183,0.205,0.558,114.142,189627,4
147,t l c,waterfalls,1995,86,6qspW4YKycviDFjHBOaqUY,72,0.77,0.505,1,-7.345,1,0.0828,0.311,7.4e-05,0.0777,0.757,171.798,279507,4
148,des'ree,you gotta be,1995,87,6CU0zWIWVTEnmWpSjVHM93,65,0.627,0.669,0,-9.985,1,0.0412,0.211,2.72e-06,0.111,0.498,94.029,245200,4
149,costa karine,you,1995,88,1AddF6wPrMUs4QELUOjdxh,1,0.441,0.418,0,-8.782,1,0.0286,0.528,0.0,0.146,0.161,133.243,248000,4
150,lennox annie,no more i love you's,1995,89,2Pn5gvVioma5LHPxgEBBmD,64,0.372,0.57,3,-7.305,1,0.0305,0.517,2.57e-06,0.141,0.234,179.907,291333,4
151,passengers the,miss sarajevo,1995,90,3m5MLdIz1jmbDjbIkgHOt3,49,0.202,0.441,4,-10.495,1,0.0284,0.168,0.774,0.342,0.176,99.779,340467,4
152,cabrel francis,la corrida,1995,91,5MtP6QGoOkA1L5ynZyQEiv,57,0.608,0.322,5,-15.391,1,0.0431,0.7,0.00298,0.0724,0.274,98.724,342613,4
153,simply red,fairground,1995,92,5VL2n2e6eRx1mhvojzSYgR,0,0.718,0.731,6,-6.454,1,0.042,0.208,0.201,0.083,0.619,122.839,333333,4
154,winx,don't laugh,1995,96,21uqgBVyhkmQ6w3Wpjo60m,32,0.947,0.965,2,-6.304,1,0.166,0.0485,0.92,0.0886,0.123,127.945,206547,4
155,ice mc,megamix,1995,98,2v2TlNBk8iWz9txtMmj6Jx,39,0.772,0.815,0,-12.051,1,0.0325,0.0511,0.00491,0.292,0.857,138.274,524667,4
156,b o f,pocahontas,1995,99,6m8mbyoMIs5Tg8HNfStrjQ,63,0.688,0.503,1,-10.356,0,0.046,0.828,1.28e-06,0.088,0.458,124.903,218500,4
157,le forestier maxime,passer ma route,1995,100,7G79sn8R6f48WoQJi9xUiw,34,0.715,0.546,3,-10.484,1,0.0294,0.587,0.000278,0.1,0.612,120.003,485600,4
158,los del rio,macarena,1996,1,3mIFUU4vUWHwWgYDD0xr1p,39,0.823,0.845,10,-4.548,0,0.0908,0.121,0.0,0.0861,0.875,103.192,230227,4
160,los del mar,macarena,1996,12,3mIFUU4vUWHwWgYDD0xr1p,39,0.823,0.845,10,-4.548,0,0.0908,0.121,0.0,0.0861,0.875,103.192,230227,4
162,carrapicho,tic tic tac,1996,2,33FrM0i2g7uosARZ4aCFk1,50,0.855,0.665,8,-13.156,0,0.112,0.338,0.000122,0.279,0.96,99.902,241370,4
