,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
786,David Bowie,Space Oddity - 2015 Remaster,72Z17vmmeQKAg8bptWvpVG,0.299,0.443,0,-12.621,1,0.0346,0.0748,0.000138,0.177,0.434,139.539,318813,4
787,David Guetta,Titanium (feat. Sia),0lHAMNU8RGiIObScrsRgmP,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,245040,4
788,David Guetta,Sexy Bitch (feat. Akon),0uXO2GrNiIb1xHT9LUdxZE,0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130.011,195853,4
789,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",5b2bu6yyATC1zMXDGScJ2d,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4
790,David Hallyday,Tu ne m'as pas laissé le temps,6Brbc2UE0tfnC07tErI0qo,0.333,0.487,9,-8.449,0,0.0282,0.144,0.0,0.0905,0.338,73.83,269293,4
791,David Hallyday,Ma dernière lettre,4EjVpbDDofMiSS56BClR2i,0.228,0.521,7,-7.492,1,0.0305,0.0367,0.0,0.0931,0.132,167.504,215520,4
792,David Hallyday,Éternel,561UMuuNYp4BPfWk7zk8cu,0.614,0.73,5,-6.042,1,0.0322,0.0191,0.0,0.346,0.339,117.9,232760,4
793,David Jordan,Sun Goes Down,6sVtEXeTnUquDoRcbLYHK3,0.568,0.808,5,-3.714,1,0.0287,0.172,0.0,0.192,0.933,171.796,199653,4
794,David Engel,Monkey Around - Original Broadway Cast Recording,3OlBCTvUfwgV38hFdXroWo,0.832,0.405,7,-12.748,0,0.124,0.346,0.000114,0.246,0.848,122.095,110227,4
795,Neil Davidge,To Galaxy - Sander Van Doorn & Julian Jordan Remix,4d0hLnEI3dFA6nXnyoAZ5X,0.56,0.669,7,-7.589,1,0.0977,0.00604,0.5,0.386,0.13,127.995,406396,4
796,David Koven,Samba Maria,6fdgsJRswilN9Mpt3lheXD,0.694,0.647,4,-14.177,0,0.0465,0.0545,0.00876,0.114,0.896,88.973,265160,4
797,David Koven,Epoque à Papa,6QhMPUKAYTSVxbXzuhQk02,0.602,0.521,2,-12.973,1,0.0399,0.4,0.000234,0.261,0.517,102.936,183560,4
